Sleep,Program,,,,,,,,,,,,,,,,,,
05-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-12-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-11-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-10-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-09-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-06-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-06-2021,4th Floor Isolation,,,,,,,,,,,,,,,,,,
01-06-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-05-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-02-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-02-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-02-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
02-02-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-01-2021,1st Floor Lobby Overflow,,,,,,,,,,,,,,,,,,
23-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-01-2021,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
16-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-12-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
03-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-12-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
30-11-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
29-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-11-2020,4th Floor Isolation,,,,,,,,,,,,,,,,,,
20-11-2020,4th Floor Isolation,,,,,,,,,,,,,,,,,,
19-11-2020,4th Floor Isolation,,,,,,,,,,,,,,,,,,
18-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
16-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
12-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
11-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
09-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
08-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
07-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
06-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
03-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
01-11-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
31-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
12-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
07-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
06-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
05-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
04-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
03-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
02-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
01-10-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
30-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
29-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
28-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
27-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
26-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
25-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
24-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
23-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
22-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
21-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
20-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
19-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
18-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
17-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
15-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
14-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
13-09-2020,2nd Floor Night Overflow,,,,,,,,,,,,,,,,,,
10-03-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
08-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-03-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
02-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
11-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-02-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
04-02-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
28-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
26-01-2019,3rd Floor Male Night,,,,,,,,,,,,,,,,,,
25-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
19-01-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
18-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
17-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
14-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
12-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
10-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
08-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
07-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
05-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
02-01-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
19-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
18-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
16-08-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
15-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
14-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
14-08-2019,3rd Floor Male Night,,,,,,,,,,,,,,,,,,
13-08-2019,3rd Floor Male Night,,,,,,,,,,,,,,,,,,
13-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
12-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
11-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
10-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-08-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
07-08-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
30-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
29-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
28-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
25-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
24-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
23-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
22-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
22-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
21-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
20-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
20-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
18-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
17-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
16-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
15-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
14-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
12-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
12-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
11-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
10-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
07-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
05-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
05-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
04-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
04-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
03-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
03-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
01-07-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
01-07-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
30-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
30-06-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
29-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
28-06-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
28-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
27-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
26-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
25-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
24-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
23-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
22-06-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
20-06-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
06-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
05-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
05-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
03-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
31-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
30-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
29-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
27-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
25-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
23-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
23-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
22-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
09-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-03-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
07-04-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
05-04-2020,2nd Floor Night,,,,,,,,,,,,,,,,,,
03-04-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-04-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
30-04-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
29-04-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-04-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-04-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-04-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
