Sleep,Program,,,,,,,,,,,,,,,,,,
09-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
09-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
07-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
06-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
05-05-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
02-05-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
02-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
01-05-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
30-04-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
29-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
27-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
24-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
23-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-04-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
22-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-04-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
18-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
17-04-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
17-04-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
16-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
15-04-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
15-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
14-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
13-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
12-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
11-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
09-04-2019,2nd Floor Night,,,,,,,,,,,,,,,,,,
09-04-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
08-04-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
07-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
06-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-04-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
18-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
15-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
12-03-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
10-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
05-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
04-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
03-03-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
03-03-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
02-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-03-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
28-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
27-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
24-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
24-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
19-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
18-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
17-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
16-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
15-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
14-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
13-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
12-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
11-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
10-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
09-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
08-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
07-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
06-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
06-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
05-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
04-02-2019,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
04-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
03-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
02-02-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-02-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
31-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
30-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
29-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
28-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
27-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
26-01-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
24-01-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
23-01-2019,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
17-06-2019,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
28-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
27-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
26-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
25-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
22-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
21-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
21-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
20-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
19-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
19-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
17-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
16-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
15-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
14-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
13-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
10-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
09-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
08-02-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
07-02-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
06-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
05-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
04-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
02-02-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
31-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
30-01-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
29-01-2020,Day Sleep (3rd Floor),,,,,,,,,,,,,,,,,,
29-01-2020,3rd Floor Female Night,,,,,,,,,,,,,,,,,,
28-01-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
01-03-2020,1st Floor Riverfront,,,,,,,,,,,,,,,,,,
